episode,reward_mean,reward_std,policy_loss,value_loss,entropy,avg_speed,avg_waiting,total_vehicles,lr,entropy_coef,timestamp
0,-1.192636,0.162124,-0.009328,0.680921,1.344181,0.4374,108.0302,244.13888888888889,0.00006000,0.005000,2026-04-21T11:38:35.236778
1,-1.024580,0.232957,-0.007400,0.609637,1.244105,0.6212,122.2960,203.0,0.00012000,0.004999,2026-04-21T11:39:45.961786
2,-1.122866,0.190842,-0.003296,0.626847,1.098315,0.4992,92.0505,233.86111111111111,0.00018000,0.004998,2026-04-21T11:40:58.238083
3,-1.163159,0.229762,-0.001003,0.587053,0.939115,0.4295,117.1106,233.02777777777777,0.00024000,0.004997,2026-04-21T11:42:01.280604
4,-1.096505,0.278238,0.006569,0.518644,0.715904,0.4217,106.3466,213.22222222222223,0.00030000,0.004996,2026-04-21T11:43:02.977855
5,-1.040019,0.316500,0.008218,0.550309,0.778264,0.5491,96.1421,201.19444444444446,0.00030000,0.004995,2026-04-21T11:44:02.297620
6,-1.015453,0.202867,0.003063,0.575607,0.920564,0.4928,121.0874,200.25,0.00029965,0.004994,2026-04-21T11:45:11.902194
7,-0.797932,0.252354,-0.000631,0.620831,1.012796,0.9574,77.7662,154.38888888888889,0.00029859,0.004993,2026-04-21T11:46:15.227975
8,-1.223149,0.201782,-0.006502,0.654884,0.992494,0.3976,113.3114,247.72222222222223,0.00029683,0.004992,2026-04-21T11:47:19.929104
9,-1.075052,0.220515,-0.003946,0.637465,0.987548,0.5475,109.4948,213.97222222222223,0.00029438,0.004991,2026-04-21T11:48:04.115297
10,-0.912996,0.259353,-0.010404,0.583658,1.044507,0.7466,85.2806,182.5,0.00029126,0.004990,2026-04-21T11:48:49.370107
11,-1.229351,0.204403,-0.014427,0.683070,0.998837,0.4707,117.4707,248.66666666666666,0.00028746,0.004989,2026-04-21T11:49:45.677379
12,-1.273920,0.202754,-0.005516,0.732526,1.042301,0.3833,125.1871,258.25,0.00028303,0.004988,2026-04-21T11:50:44.803760
13,-1.041373,0.233495,-0.014255,0.616377,1.061158,0.5850,118.0083,209.72222222222223,0.00027797,0.004987,2026-04-21T11:51:21.305405
14,-1.207815,0.235421,0.003624,0.763058,1.026747,0.4220,109.3207,244.88888888888889,0.00027231,0.004986,2026-04-21T11:52:32.861768
15,-1.101330,0.212187,-0.007382,0.549221,1.040294,0.3840,108.8602,222.69444444444446,0.00026608,0.004985,2026-04-21T11:53:29.235246
16,-1.008252,0.204881,-0.012715,0.659161,1.026199,0.5141,100.1254,203.69444444444446,0.00025930,0.004984,2026-04-21T11:54:14.379027
17,-0.992085,0.254803,-0.006278,0.556769,1.042071,0.5969,99.0567,198.27777777777777,0.00025202,0.004983,2026-04-21T11:55:25.509994
18,-0.877787,0.264512,-0.008716,0.566573,1.058635,0.8545,97.8675,167.72222222222223,0.00024427,0.004982,2026-04-21T11:56:23.999267
19,-1.034729,0.294166,-0.015144,0.550547,1.041804,0.6455,93.2544,205.47222222222223,0.00023608,0.004981,2026-04-21T11:57:22.465696
