episode,reward_mean,policy_loss,value_loss,entropy,avg_speed,avg_waiting,lr,entropy_coef,timestamp
0,-0.151204,-0.000006,0.952747,1.367048,0.2777,129.3500,0.00000300,0.050000,2026-04-19T09:59:06.726112
1,-0.070972,-0.000004,0.952606,1.363320,0.8690,98.0939,0.00000600,0.049990,2026-04-19T09:59:21.616829
2,-0.123504,-0.000008,0.945181,1.367302,0.4193,113.2996,0.00000900,0.049980,2026-04-19T09:59:38.590677
3,-0.125814,-0.000013,0.947809,1.365820,0.5128,117.3490,0.00001200,0.049970,2026-04-19T09:59:54.535782
4,0.138935,-0.000016,0.954078,1.344048,3.0923,9.5505,0.00001500,0.049960,2026-04-19T10:00:07.552930
5,0.149515,-0.000051,0.945034,1.341454,4.1123,4.0321,0.00001800,0.049950,2026-04-19T10:00:20.021053
6,0.103823,-0.000023,0.937188,1.340382,2.5423,16.1286,0.00002100,0.049940,2026-04-19T10:00:33.604488
7,0.160645,-0.000032,0.934960,1.334499,5.2708,1.7096,0.00002400,0.049930,2026-04-19T10:00:45.611058
8,-0.143915,-0.000050,0.942663,1.361348,0.3101,127.8139,0.00002700,0.049920,2026-04-19T10:01:03.189544
9,0.042559,-0.000043,0.944680,1.351573,1.9958,41.7625,0.00003000,0.049910,2026-04-19T10:01:17.050689
10,0.118107,-0.000017,0.945755,1.349000,2.8892,11.8282,0.00003300,0.049900,2026-04-19T10:01:30.081827
11,-0.139320,-0.000079,0.944027,1.371002,0.2637,131.6382,0.00003600,0.049890,2026-04-19T10:01:47.477489
12,-0.116600,-0.000051,0.939825,1.373119,0.3898,117.2156,0.00003900,0.049880,2026-04-19T10:02:05.009632
13,0.096788,-0.000041,0.940552,1.362716,2.4452,14.7741,0.00004200,0.049870,2026-04-19T10:02:18.673445
14,-0.119776,-0.000033,0.940570,1.370931,0.4653,121.2926,0.00004500,0.049860,2026-04-19T10:02:35.520764
15,-0.100359,-0.000051,0.945271,1.373414,0.7565,93.6160,0.00004800,0.049850,2026-04-19T10:02:51.029662
16,0.077179,-0.000045,0.945851,1.371907,2.2010,16.3755,0.00005100,0.049840,2026-04-19T10:03:04.724835
17,0.125651,-0.000035,0.947520,1.368162,3.3396,12.0606,0.00005400,0.049830,2026-04-19T10:03:17.738923
18,0.140318,-0.000058,0.942356,1.363932,3.2729,9.0034,0.00005700,0.049820,2026-04-19T10:03:30.572455
19,0.107898,-0.000045,0.948161,1.363771,2.6322,11.5888,0.00006000,0.049810,2026-04-19T10:03:43.807859
20,0.159070,-0.000064,0.942478,1.362944,4.1469,5.0675,0.00006000,0.049800,2026-04-19T10:03:56.135908
21,0.132462,-0.000124,0.948076,1.361671,3.4845,6.6664,0.00006000,0.049790,2026-04-19T10:04:08.805470
22,-0.151877,-0.000073,0.938607,1.379567,0.2597,138.1579,0.00006000,0.049780,2026-04-19T10:04:26.891638
23,0.165346,-0.000135,0.948507,1.373985,4.9700,2.5152,0.00005999,0.049771,2026-04-19T10:04:39.132670
24,0.150460,-0.000042,0.945353,1.379934,3.7976,4.1940,0.00005999,0.049761,2026-04-19T10:04:51.548038
25,-0.089508,-0.000043,0.941142,1.383011,0.7644,105.6754,0.00005998,0.049751,2026-04-19T10:05:07.121049
26,-0.113120,-0.000048,0.942427,1.383699,0.6521,114.4160,0.00005997,0.049741,2026-04-19T10:05:22.743196
27,-0.116721,-0.000044,0.942918,1.382148,0.6064,111.7630,0.00005996,0.049731,2026-04-19T10:05:38.644263
28,0.150918,-0.000052,0.940534,1.379836,4.6333,3.1519,0.00005995,0.049721,2026-04-19T10:05:50.918706
29,-0.065516,-0.000048,0.940553,1.381735,1.0131,93.0763,0.00005993,0.049711,2026-04-19T10:06:05.684994
30,-0.141875,-0.000120,0.938016,1.383981,0.3115,120.4605,0.00005991,0.049701,2026-04-19T10:06:23.274057
31,0.161628,-0.000041,0.938540,1.370810,4.3809,2.9898,0.00005990,0.049691,2026-04-19T10:06:35.755930
32,0.165012,-0.000033,0.939741,1.369702,4.9686,2.3700,0.00005988,0.049681,2026-04-19T10:06:48.009025
33,-0.110823,-0.000052,0.937949,1.377874,0.6384,107.8669,0.00005986,0.049671,2026-04-19T10:07:03.542075
34,-0.137922,-0.000072,0.940185,1.381292,0.4176,116.6155,0.00005983,0.049661,2026-04-19T10:07:20.149149
35,-0.123518,-0.000061,0.935719,1.380348,0.3750,132.0568,0.00005981,0.049651,2026-04-19T10:07:37.685952
36,0.152863,-0.000062,0.933851,1.370788,3.7228,5.6254,0.00005978,0.049641,2026-04-19T10:07:50.355600
37,0.155949,-0.000100,0.940914,1.371184,4.9857,2.1991,0.00005975,0.049631,2026-04-19T10:08:02.715691
38,-0.142396,-0.000017,0.933129,1.380379,0.3379,123.5036,0.00005972,0.049621,2026-04-19T10:08:21.093902
39,-0.130103,-0.000032,0.939535,1.382064,0.2724,132.4887,0.00005969,0.049611,2026-04-19T10:08:38.124382
40,0.124504,-0.000082,0.938768,1.377270,3.0277,8.3318,0.00005966,0.049602,2026-04-19T10:08:51.126822
41,0.150966,-0.000117,0.943331,1.375312,3.7113,6.4997,0.00005962,0.049592,2026-04-19T10:09:03.783391
42,0.132136,-0.000128,0.939739,1.370931,3.2518,11.5562,0.00005959,0.049582,2026-04-19T10:09:16.543908
43,-0.002647,-0.000055,0.939084,1.378542,1.4355,66.1720,0.00005955,0.049572,2026-04-19T10:09:30.931607
44,0.142727,-0.000039,0.945114,1.378242,3.6455,4.8757,0.00005951,0.049562,2026-04-19T10:09:43.486277
45,0.116619,-0.000073,0.940159,1.380202,2.8967,12.8105,0.00005947,0.049552,2026-04-19T10:09:56.684345
46,0.155805,-0.000065,0.932625,1.383507,4.4585,3.0126,0.00005942,0.049542,2026-04-19T10:10:09.188995
47,0.038739,-0.000044,0.932693,1.383053,1.8772,38.8470,0.00005938,0.049532,2026-04-19T10:10:23.014129
48,0.152725,-0.000119,0.947762,1.382076,4.5772,3.2348,0.00005933,0.049522,2026-04-19T10:10:35.167307
49,-0.067639,-0.000077,0.933930,1.380482,0.9372,92.6139,0.00005928,0.049512,2026-04-19T10:10:50.196897
50,-0.116966,-0.000111,0.933108,1.377628,0.4578,120.2867,0.00005924,0.049502,2026-04-19T10:11:06.720354
51,-0.118656,-0.000047,0.927691,1.370934,0.4317,117.4147,0.00005918,0.049493,2026-04-19T10:11:23.380765
52,-0.133580,-0.000049,0.931945,1.370669,0.3606,131.2917,0.00005913,0.049483,2026-04-19T10:11:41.125284
53,-0.135766,-0.000029,0.929693,1.372443,0.3451,131.3465,0.00005908,0.049473,2026-04-19T10:11:57.710846
54,-0.054918,-0.000054,0.937387,1.361554,0.9991,85.7206,0.00005902,0.049463,2026-04-19T10:12:12.919249
55,0.137602,-0.000069,0.945205,1.348273,3.3326,10.2596,0.00005896,0.049453,2026-04-19T10:12:25.857084
56,-0.045722,-0.000076,0.931962,1.363685,0.9177,94.6418,0.00005890,0.049443,2026-04-19T10:12:40.533504
57,-0.131385,-0.000038,0.928435,1.365305,0.3727,117.3872,0.00005884,0.049433,2026-04-19T10:12:57.845465
58,0.054986,-0.000081,0.937731,1.355109,2.0381,39.5796,0.00005878,0.049423,2026-04-19T10:13:11.925859
59,0.160675,-0.000158,0.934082,1.330552,4.1382,4.1173,0.00005871,0.049413,2026-04-19T10:13:24.662445
60,-0.074763,-0.000072,0.936141,1.332553,0.6889,114.4772,0.00005865,0.049404,2026-04-19T10:13:40.164599
61,-0.138816,-0.000082,0.929125,1.337491,0.2687,137.5821,0.00005858,0.049394,2026-04-19T10:13:58.380417
62,-0.110133,-0.000047,0.932179,1.337965,0.4333,123.3175,0.00005851,0.049384,2026-04-19T10:14:15.184076
63,0.130906,-0.000056,0.941353,1.336069,3.0357,8.7009,0.00005844,0.049374,2026-04-19T10:14:28.042633
64,0.171731,-0.000045,0.930426,1.335099,4.9969,2.8610,0.00005836,0.049364,2026-04-19T10:14:40.256895
65,0.029598,-0.000155,0.939255,1.335429,1.4842,66.3904,0.00005829,0.049354,2026-04-19T10:14:54.492535
